,0,1,2,3
4410022,0.004664485,0.6710577,0.29916304,0.025114773
3812449,0.0036433286,0.11030118,0.7140935,0.17196198
3653349,0.021894436,0.008710702,0.87697536,0.09241953
1681968,0.0024602665,0.005084555,0.99033177,0.0021234192
4518365,0.14659008,0.17581567,0.32237005,0.35522422
3432353,0.044412065,0.0784415,0.4921207,0.38502574
3631319,0.0641327,0.12202995,0.6912436,0.12259376
3459365,0.32510388,0.13011163,0.44980934,0.0949751
3895058,0.030200459,0.0066559,0.9556303,0.0075133424
4525029,0.0016808847,0.0021561664,0.99366426,0.002498723
3589217,0.06423233,0.24829964,0.31108287,0.37638518
3903562,0.021868337,0.007992185,0.7401891,0.22995037
3291939,0.0024635987,0.027182862,0.9682558,0.0020977177
1648340,0.051007655,0.53751487,0.39303455,0.018442951
3814805,0.05560114,0.18012233,0.6659083,0.09836825
3657877,0.055434503,0.10143209,0.7391144,0.104018964
473627584286,0.025195183,0.05272886,0.90214556,0.01993041
3816754,0.035385344,0.054542784,0.45866686,0.45140502
3690186,0.0057548434,0.012411237,0.96317333,0.018660583
4494709,0.00732212,0.024464814,0.9501616,0.018051436
4517806,0.0031608085,0.0040022056,0.99108315,0.0017539009
1580528,0.00064387365,0.0030720863,0.99485403,0.0014300256
3581894,0.044994056,0.098481946,0.8123336,0.044190455
3496431,0.030619578,0.32145536,0.5937352,0.054189842
3299476,0.016959427,0.20731954,0.7605185,0.01520256
47034467,0.01976868,0.023091236,0.95280635,0.0043337117
3476526,0.24698684,0.14568007,0.4996722,0.10766086
46528653,0.02385292,0.043164406,0.8817648,0.051217835
3819910,0.3250108,0.13012381,0.50783,0.03703534
1580865,0.0072176717,0.022370694,0.9458316,0.024579993
3970533,0.006485713,0.012478468,0.9588555,0.02218033
1594921,0.086638324,0.042729285,0.83817685,0.03245556
3591528,0.016708575,0.026997834,0.9369744,0.019319205
3763493,0.046432048,0.4230554,0.51699466,0.013517881
46627536,0.036944102,0.09984994,0.72979724,0.1334087
3351498,0.0056100097,0.015993718,0.9422168,0.036179516
3581090,0.10284272,0.011265608,0.86295646,0.022935186
3274967,0.011321216,0.036744807,0.9339354,0.017998513
4279015,0.008002769,0.024939341,0.85821533,0.108842514
3789227,0.056568634,0.04911555,0.841102,0.05321383
3570262,0.6394982,0.061938174,0.2140918,0.084471904
3897800,0.011593457,0.023139235,0.9565133,0.00875406
3567083,0.018288318,0.014169019,0.7824081,0.18513457
3291391,0.038688768,0.06316084,0.8415821,0.05656825
3590538,0.0032998978,0.011524675,0.9780604,0.0071149906
3519517,0.66039985,0.08798981,0.16181213,0.089798145
3555846,0.0034647263,0.008655772,0.9780146,0.009864939
3316837,0.032777946,0.05820742,0.8840636,0.024951013
