Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,overlap_count,pathway_size,rich_factor,gene_ratio,neg_log10_pval
GO_Biological_Process_2021,L-methionine salvage from methylthioadenosine (GO:0019509),1/5,0.0017489165149326,0.0198879968628437,0,0,832.875,5287.722499803602,ADI1,1,5,0.2,0.14285714285714285,1.7014089572085536
GO_Biological_Process_2021,positive regulation by host of viral genome replication (GO:0044829),1/5,0.0017489165149326,0.0198879968628437,0,0,832.875,5287.722499803602,NUCKS1,1,5,0.2,0.14285714285714285,1.7014089572085536
GO_Biological_Process_2021,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0014808),1/6,0.0020983872819732,0.0198879968628437,0,0,666.2666666666667,4108.590825691207,NOL3,1,6,0.16666666666666666,0.14285714285714285,1.7014089572085536
GO_Biological_Process_2021,negative regulation of cellular response to hypoxia (GO:1900038),1/6,0.0020983872819732,0.0198879968628437,0,0,666.2666666666667,4108.590825691207,NOL3,1,6,0.16666666666666666,0.14285714285714285,1.7014089572085536
GO_Biological_Process_2021,cellular response to X-ray (GO:0071481),1/6,0.0020983872819732,0.0198879968628437,0,0,666.2666666666667,4108.590825691207,NUCKS1,1,6,0.16666666666666666,0.14285714285714285,1.7014089572085536
GO_Biological_Process_2021,release of sequestered calcium ion into cytosol by endoplasmic reticulum (GO:1903514),1/7,0.0024477534600423,0.0198879968628437,0,0,555.1944444444445,3338.1535834228603,NOL3,1,7,0.14285714285714285,0.14285714285714285,1.7014089572085536
GO_Biological_Process_2021,L-methionine salvage (GO:0071267),1/7,0.0024477534600423,0.0198879968628437,0,0,555.1944444444445,3338.1535834228603,ADI1,1,7,0.14285714285714285,0.14285714285714285,1.7014089572085536
GO_Biological_Process_2021,inhibition of cysteine-type endopeptidase activity (GO:0097340),1/7,0.0024477534600423,0.0198879968628437,0,0,555.1944444444445,3338.1535834228603,NOL3,1,7,0.14285714285714285,0.14285714285714285,1.7014089572085536
GO_Biological_Process_2021,methionine metabolic process (GO:0006555),1/8,0.002797015027105,0.0202006640846476,0,0,475.8571428571428,2797.6605002155425,ADI1,1,8,0.125,0.14285714285714285,1.6946343531495498
GO_Biological_Process_2021,sarcoplasmic reticulum calcium ion transport (GO:0070296),1/10,0.0034952242970889,0.0227155618452806,0,0,370.0740740740741,2093.271349114512,NOL3,1,10,0.1,0.14285714285714285,1.6436765169040588
GO_Biological_Process_2021,positive regulation by host of viral process (GO:0044794),1/11,0.0038441720045859,0.0227155618452806,0,0,333.05,1852.1566750462316,NUCKS1,1,11,0.09090909090909091,0.14285714285714285,1.6436765169040588
