Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,overlap_count,pathway_size,rich_factor,gene_ratio,neg_log10_pval
GO_Biological_Process_2021,positive regulation by host of viral genome replication (GO:0044829),1/5,0.0004999362185987752,0.0082634029252183,0,0,4998.5,37993.74860736107,NUCKS1,1,5,0.2,0.5,2.0828410704394136
GO_Biological_Process_2021,cellular response to X-ray (GO:0071481),1/6,0.000599909243874975,0.0082634029252183,0,0,3998.6,29664.54247254577,NUCKS1,1,6,0.16666666666666666,0.5,2.0828410704394136
GO_Biological_Process_2021,positive regulation by host of viral process (GO:0044794),1/11,0.0010997006223853,0.0082634029252183,0,0,1998.8,13617.25933461938,NUCKS1,1,11,0.09090909090909091,0.5,2.0828410704394136
GO_Biological_Process_2021,response to X-ray (GO:0010165),1/14,0.0013995161171866,0.0082634029252183,0,0,1537.3076923076924,10102.615401748277,NUCKS1,1,14,0.07142857142857142,0.5,2.0828410704394136
GO_Biological_Process_2021,modulation by host of viral genome replication (GO:0044827),1/15,0.0014994446955652,0.0082634029252183,0,0,1427.428571428571,9282.083305740876,NUCKS1,1,15,0.06666666666666667,0.5,2.0828410704394136
GO_Biological_Process_2021,positive regulation by host of viral transcription (GO:0043923),1/16,0.0015993683081067,0.0082634029252183,0,0,1332.2,8576.89881409571,NUCKS1,1,16,0.0625,0.5,2.0828410704394136
GO_Biological_Process_2021,modulation by host of symbiont process (GO:0051851),1/32,0.0031974693753253,0.0113511733958124,0,0,644.0967741935484,3700.590773875383,NUCKS1,1,32,0.03125,0.5,1.9449592421725057
GO_Biological_Process_2021,replication fork processing (GO:0031297),1/39,0.0038962373924015,0.0113511733958124,0,0,525.2631578947369,2914.025513048134,NUCKS1,1,39,0.02564102564102564,0.5,1.9449592421725057
GO_Biological_Process_2021,DNA-dependent DNA replication maintenance of fidelity (GO:0045005),1/43,0.0042954236465038,0.0113511733958124,0,0,475.1428571428572,2589.626019082068,NUCKS1,1,43,0.023255813953488372,0.5,1.9449592421725057
GO_Biological_Process_2021,cellular glucose homeostasis (GO:0001678),1/43,0.0042954236465038,0.0113511733958124,0,0,475.1428571428572,2589.626019082068,NUCKS1,1,43,0.023255813953488372,0.5,1.9449592421725057
